Epoch,Total Runtime,Training Perplexity,DEQ Validation Perplexity,Unrolled Validation Perplexity,Average Convergence Gap,Maximum Convergence Gap,Average Absolute Convergence Gap,Maximum Absolute Convergence Gap
18,2861.076839332,102.57323272718348,99.76938194117776,99.76934058796532,0.0016219388196367368,0.20377479493618011,0.8397293260463555,103.12342071533203
19,3018.807106761,102.38146154173752,98.40388904388806,98.40384287196912,0.0015954542340409427,0.21736696362495422,0.804206216326892,107.8678970336914
20,3177.90033564,101.30401947921513,96.48107244723774,96.48112386472039,0.0009810673330021406,0.1339021921157837,0.4890944710897064,67.49463653564453
21,3336.994167852,100.038489017007,96.38157836557605,96.38143486028058,0.0008147543589065051,0.10449675470590591,0.46387928533892847,57.960533142089844
22,3496.097228029,99.23424370711504,95.25457728338834,95.25446916643223,0.000977425447668337,0.12734350562095642,0.5184967489535809,67.9697036743164
23,3655.20706665,98.69802478344806,95.22240135159986,95.2224074289887,0.0007665111505065281,0.09724824130535126,0.43641063363932625,56.16436004638672
24,3814.289979011,98.3232999339236,94.60453797202433,94.60440834936011,0.00152158813025883,0.2015833556652069,0.7514116988664878,97.8946533203125
25,3973.391808514,97.38405255437348,94.90103215204556,94.90098016549403,0.0009323165189987783,0.12220966070890427,0.49392293610110694,62.01606369018555
26,4131.101926186,96.57684942929866,94.10700943101303,94.1068848876039,0.0009857290819633988,0.1294156312942505,0.5037425953703528,64.4156494140625
27,4290.2096169550005,95.8683214201167,93.85004704298255,93.85002026605292,0.0017058744051172117,0.22419564425945282,0.8206257445931571,107.45748901367188
28,4449.316726966001,95.39350725449148,93.80767933178099,93.80760573758238,0.0009321771140658187,0.12750832736492157,0.48061993026547206,64.77214050292969
29,4608.386781425001,95.20176120086028,92.95918124396874,92.95911801776157,0.0010191605094683081,0.13894031941890717,0.510131385141614,67.65689086914062
30,4767.559191884,94.45842714344056,93.82056552602081,93.82053387351668,0.0010730922913091017,0.14409025013446808,0.564484885525203,73.09967803955078
31,4925.269495697,94.22311389493751,93.26354780033626,93.26351685188374,0.0007731185572331882,0.11452160775661469,0.4120140193606336,59.04450607299805
32,5082.976647735,93.86349975912925,95.00176150417596,95.00185589575793,0.0010205795474771085,0.13980130851268768,0.5424507056705423,72.69371795654297
33,5240.683658791,93.13516268298353,93.25378798463402,93.25395596725997,0.0008020472039892704,0.11065826565027237,0.4325302724395012,58.050270080566406
34,5398.393689701001,93.473242424694,92.45421275813277,92.45433082509359,0.000823516470794144,0.1097681000828743,0.4501982111237534,59.01469039916992
35,5557.474162946,93.05887495491568,92.43022827543359,92.43017503938106,0.0008161339782163452,0.10389839112758636,0.42572225925171026,52.87770080566406
36,5716.562689999,92.27019192796969,92.34894617382562,92.34880593599675,0.0010863864609816178,0.15132486820220947,0.5315722383745025,70.6362533569336
37,5875.718146381,91.86254498773135,92.26555530804842,92.2656606266062,0.0009840644673389833,0.1421850472688675,0.49911498713114494,68.04441833496094
38,6034.848521824,91.26523659683235,90.83209633756601,90.83209561879016,0.000864676997430012,0.12246217578649521,0.42752610740411295,58.85012435913086
39,6193.938574067,91.87717653758233,90.0765219964193,90.07655704925865,0.001639468869241563,0.2123875468969345,0.7792477150776426,97.19567108154297
40,6353.051381377,91.07167542874704,89.84909320886312,89.84898544406767,0.0013166492003520195,0.18732444941997528,0.6575195738263163,91.5773696899414
41,6512.146813454,90.24424415613292,89.98901197433757,89.98910660979702,0.0007980092079056674,0.11042450368404388,0.4184354748693049,55.36552429199219
42,6669.854553234,91.17892685933035,90.22339970688438,90.22352919489502,0.000709836819605194,0.09547792375087738,0.3705295871205208,48.281402587890625
43,6827.591278339,90.79923850215194,89.74930715291931,89.74921590754774,0.0006858589606175447,0.08798859268426895,0.37298054449198415,46.49114990234375
44,6986.794859519,90.26796429708774,90.20008681892861,90.19999926728146,0.0007353006005028568,0.10170362144708633,0.3825225336664546,50.39579772949219
45,7144.514464183,89.30402189798191,89.66697718122627,89.66717116152742,0.0007837565038059246,0.10074527561664581,0.39233629266095593,48.959449768066406
